,LLS,Steepest descent
age,0.2796495505929993,0.27964950008807676
sex,-0.09941674197993731,-0.09941672619796227
test_time,0.14700043293060402,0.14700047150596454
Jitter(%),0.14065655308709948,0.14065612963661567
Jitter(Abs),-0.5832585213194232,-0.5832583710356287
Jitter:RAP,0.7377465936257468,0.7377473628660154
Jitter:PPQ5,-0.5268632322181569,-0.5268638973205153
Shimmer,-2.6070949695728163,-2.6070886590147953
Shimmer(dB),1.0939366420731214,1.0939356196731391
Shimmer:APQ3,0.04781299166404198,0.04780911190614508
Shimmer:APQ5,2.216730165229699,2.2167302525823116
Shimmer:APQ11,-0.6219810832396998,-0.6219824915639013
NHR,-0.28312172318245704,-0.28312193804436425
HNR,0.010737879292667958,0.010737727398501125
RPDE,0.05269638312944016,0.05269633164408351
DFA,-0.5570404083145774,-0.5570405339040148
PPE,0.7258435304684918,0.7258436570827793
