,LLS,Steepest descent
age,0.1888418069772037,0.18884179453487354
sex,-0.25829828357251494,-0.2582982301777911
test_time,0.08034147364234699,0.08034145403932402
Jitter(%),0.17622705222294674,0.17622580628296827
Jitter(Abs),-0.5809533605248658,-0.580953101235824
Jitter:RAP,0.698632735250019,0.698632745070951
Jitter:PPQ5,-0.2569412025111302,-0.2569400492067705
Shimmer,1.7026450834086468,1.7026373202058038
Shimmer(dB),-1.03345798468628,-1.0334553593328348
Shimmer:APQ3,-0.9293391146734131,-0.9293353445618419
Shimmer:APQ5,-0.018444164828331146,-0.01844504329935435
Shimmer:APQ11,0.20975724773284735,0.20975898274429208
NHR,-0.2841289020519489,-0.2841282326972838
HNR,-0.24753145628944154,-0.24753133775380304
RPDE,0.0768916752178039,0.07689169046235106
DFA,-0.3632008460071018,-0.3632007794430689
PPE,0.19385773883149332,0.1938577033420558
