,LLS,Steepest descent
age,0.039194618687876256,0.03919455980733873
sex,-0.0068210480702815615,-0.006821028611820387
test_time,0.02843048665839915,0.028430521267087415
motor_UPDRS,0.9276471929184008,0.9276472250533709
Jitter(%),0.336176186939703,0.33617577606664684
Jitter(Abs),-0.044446453646782784,-0.04444628523311526
Jitter:RAP,-0.023653508923076823,-0.02365277710420218
Jitter:PPQ5,-0.32323635364757286,-0.3232370062387711
Shimmer,-0.40036810771541975,-0.40036170791102904
Shimmer(dB),-0.17959213161763138,-0.1795932128379991
Shimmer:APQ3,0.08338654556565915,0.08338268454469075
Shimmer:APQ5,0.5699090120695913,0.5699090162032895
Shimmer:APQ11,-0.03792580595112802,-0.0379271836955358
NHR,0.009138768565807911,0.009138565776847227
HNR,0.031137530564331023,0.031137379627633195
RPDE,0.07841712384852831,0.07841707255316162
DFA,-0.027832234699850026,-0.02783234097343205
PPE,0.11973566768118067,0.11973577261160454
