,LLS,Steepest descent
age,0.06090644120337343,0.060906458281689266
sex,-0.061853715975405454,-0.06185377694772109
test_time,0.017334343782094443,0.01733436575678633
motor_UPDRS,0.9426828307586108,0.9426827957023343
Jitter(%),-0.23793276777521197,-0.23793150634280807
Jitter(Abs),0.09127673345549725,0.09127644797617775
Jitter:RAP,0.20378655673488233,0.20378656536630654
Jitter:PPQ5,-0.1787480477543874,-0.17874920205746644
Shimmer,-0.2664093161151364,-0.2664014588320985
Shimmer(dB),0.21178228357723022,0.21177959449605785
Shimmer:APQ3,-0.20156271226237168,-0.20156650752667496
Shimmer:APQ5,0.5225046458021946,0.5225054939986331
Shimmer:APQ11,-0.2745427667920673,-0.2745444799334639
NHR,0.05972241997503776,0.05972173810806631
HNR,-0.0382918880137957,-0.03829201412611137
RPDE,0.04263013171959631,0.04263011774487459
DFA,-0.023480467953875896,-0.023480547365069205
PPE,0.022413114004492658,0.022413156005263637
