,RF_100,RF_1000
age,0.0012484568682391483,0.0019338600740809806
bp,0.007193197491308447,0.005056172739785911
sg,0.059427142318214374,0.06412363784947298
al,0.15013958900832272,0.18670927131815918
su,0.0028382273005361984,0.0068663998004962045
rbc,0.012946114922017566,0.006114579572834136
pc,0.02739183951989128,0.02917467252901791
pcc,0.0011886363405998886,0.0013250111877491568
ba,0.0016330193504575541,0.001434969830335986
bgr,0.030374461040581863,0.021549661939191556
bu,0.07744698773414176,0.05175897451640848
sc,0.11132565774587992,0.1383828772372477
sod,0.01101074513745717,0.012442411018396564
pot,0.0,0.0006102447263036042
hemo,0.14877665224603157,0.16150365663585375
pcv,0.14443673720224012,0.12480462127703888
wbcc,0.01434632562445246,0.012726941432526609
rbcc,0.11066084518962192,0.0911160878517784
htn,0.04231944138306279,0.04700107290029144
dm,0.033611166305241025,0.021928324495812272
cad,0.0,0.0008473462326866769
appet,0.006476403253515395,0.003702585752301546
pe,0.005208354018186834,0.006764013259528128
ane,0.0,0.0021226058227019617
