method,seed,Ns,N,p_t,p_kurtosis,p_AD,do_not_reject
Box-Muller,30,100,,0.47738657817635954,0.761,0.1425,True
Box-Muller,30,500,,0.6220182139221989,0.158,0.083,True
Box-Muller,30,1000,,0.4705035219900149,0.1895,0.0595,True
Central limit,30,1000,1.0,0.017624348927921314,0.0,0.0,False
Central limit,30,1000,2.0,0.08538311806361273,0.0015,0.035,False
Central limit,30,1000,3.0,0.1222039802859235,0.0255,0.1615,False
Central limit,30,1000,4.0,0.4384187249756473,0.0565,0.5445,True
Central limit,30,1000,5.0,0.21125560330283852,0.539,0.271,True
Central limit,30,1000,6.0,0.05076629468249494,0.7675,0.042,False
Central limit,30,1000,7.0,0.032753189196039194,0.2465,0.0195,False
Central limit,30,1000,8.0,0.04618822217070427,0.8575,0.078,False
Central limit,30,1000,9.0,0.02687392673769943,0.2615,0.0265,False
Central limit,30,1000,10.0,0.024709917990248922,0.53,0.017,False
Central limit,30,1000,11.0,0.004249303188814105,0.236,0.004,False
Central limit,30,1000,12.0,0.020370204006559006,0.471,0.005,False
Central limit,30,1000,13.0,0.019785889137667163,0.7435,0.0255,False
Central limit,30,1000,14.0,0.024547478588099084,0.928,0.009,False
Central limit,30,1000,15.0,0.12720378184173614,0.539,0.118,True
Central limit,30,1000,16.0,0.14579825956865994,0.177,0.191,True
Central limit,30,1000,17.0,0.09822065862855771,0.1445,0.0785,True
Central limit,30,1000,18.0,0.08278376288016333,0.9665,0.0315,False
Central limit,30,1000,19.0,0.0628072422860708,0.2585,0.012,False
Central limit,30,1000,20.0,0.1252859123351801,0.3045,0.0425,False
Central limit,71,1000,1.0,0.7981790788101663,0.0,0.0005,False
Central limit,71,1000,2.0,0.40920488457200305,0.001,0.0815,False
Central limit,71,1000,3.0,0.869019469240557,0.0225,0.363,False
Central limit,71,1000,4.0,0.9263681984076481,0.15,0.5075,True
Central limit,71,1000,5.0,0.5116161842361497,0.27,0.7005,True
Central limit,71,1000,6.0,0.5377600609247118,0.771,0.496,True
Central limit,71,1000,7.0,0.45699225621665923,0.344,0.3505,True
Central limit,71,1000,8.0,0.2880916815472342,0.6905,0.4065,True
Central limit,71,1000,9.0,0.33073248686068124,0.092,0.3615,True
Central limit,71,1000,10.0,0.6744664394565895,0.7975,0.8185,True
Central limit,71,1000,11.0,0.6661069913666969,0.9055,0.356,True
Central limit,71,1000,12.0,0.6799378478368242,0.15,0.1945,True
Central limit,71,1000,13.0,0.5438842246161756,0.3125,0.418,True
Central limit,71,1000,14.0,0.41787072509137796,0.533,0.3525,True
Central limit,71,1000,15.0,0.494848129205493,0.4625,0.435,True
Central limit,71,1000,16.0,0.4069082679424807,0.202,0.526,True
Central limit,71,1000,17.0,0.5556934009447047,0.584,0.436,True
Central limit,71,1000,18.0,0.6666930033754768,0.078,0.473,True
Central limit,71,1000,19.0,0.7397224489490755,0.345,0.1575,True
Central limit,71,1000,20.0,0.7230892777139366,0.3045,0.9245,True
